Ref,Val,Package,PosX,PosY,Rot,Side
"C814","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.775000,-177.800000,-90.000000,top
"C815","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.775000,-165.800000,-90.000000,top
"C816","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.775000,-168.700000,-90.000000,top
"C817","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.775000,-171.800000,-90.000000,top
"C818","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.775000,-174.667500,-90.000000,top
"C901","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",56.900000,-120.300000,180.000000,top
"C902","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.100000,-111.700000,-90.000000,top
"C903","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",60.200000,-108.300000,-90.000000,top
"C904","1n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",61.200000,-108.300000,-90.000000,top
"C1001","1.5m","CP_Radial_D35.0mm_P10.00mm_SnapIn",197.000000,-29.000000,-90.000000,top
"C1002","1.5m","CP_Radial_D35.0mm_P10.00mm_SnapIn",161.000000,-29.000000,-90.000000,top
"C1003","1.5m","CP_Radial_D35.0mm_P10.00mm_SnapIn",125.000000,-29.000000,-90.000000,top
"C1004","1.5m","CP_Radial_D35.0mm_P10.00mm_SnapIn",89.000000,-29.000000,-90.000000,top
"C1005","1.5m","CP_Radial_D35.0mm_P10.00mm_SnapIn",53.000000,-29.000000,-90.000000,top
"C1201","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",124.675000,-132.105000,0.000000,top
"D801","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.200000,-157.600000,0.000000,top
"D802","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.200000,-159.200000,0.000000,top
"D803","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.200000,-160.800000,0.000000,top
"D804","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.200000,-162.400000,0.000000,top
"D901","Red","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",61.300000,-121.400000,90.000000,top
"D902","VS-15TQ060S-M3","TO-263-2",57.700000,-73.300000,0.000000,top
"D903","VS-15TQ060S-M3","TO-263-2",57.700000,-84.800000,0.000000,top
"F501","Fuse","0031.8201",61.000000,-166.000000,-90.000000,top
